Majors,Middlebury,Bowdoin,Amherst,Williams,Colby,Tufts,Bates,Connecticut,Wesleyan,Hamilton,Recent_grads_median,Recent_grads_unemployment_rate,All_salary,All_unemploy
ECONOMICS,15,13,15,17,0,0,0,17,9,11,47000,0.099092317,69000,0.06131272
ENGLISH LANGUAGE AND LITERATURE,6,0,11,13,7,0,8,0,0,0,32000,0.08772359,50000,0.0686453
INTERNATIONAL RELATIONS,5,0,0,0,0,0,0,6,0,4,40100,0.09679894,55000,0.07031327
PSYCHOLOGY,5,0,9,12,0,0,8,11,7,6,31500,0.08381087,45000,0.06966658
HISTORY,0,0,10,12,0,0,0,0,0,0,34000,0.095666912,50000,0.06585101
BIOLOGY,0,7,0,11,10,9,11,7,7,0,33400,0.070724732,51000,0.05930117
Social Sciences,0,0,0,0,25,29,28,0,0,0,37344.44,0.09572883,53222.22,0.06568566
MULTI/INTERDISCIPLINARY STUDIES,0,0,0,0,11,7,0,0,0,0,35000,0.07086093,43000,0.07726897
Physical Sciences,0,0,0,0,7,0,0,0,0,0,41890,0.04651108,62400,0.05454062
POLITICAL SCIENCE AND GOVERNMENT,0,16,0,0,0,0,0,7,9,8,38000,0.1011746,58000,0.06937385
MATHEMATICS,0,10,12,0,0,0,0,0,0,8,45000,0.04727714,66000,0.05293608
Engineering,0,0,0,0,0,9,0,0,0,0,57382.76,0.06333388,77758.62,0.05063002
Arts,0,0,0,0,0,7,0,0,0,0,33062.5,0.0901727,43525,0.08760052
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,0,0,0,0,0,0,7,0,0,0,33000,0.10443571,48000,0.08134809
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,0,0,0,0,0,0,0,0,7,0,41000,0.075236167,53000,0.04887283
