institution,Self Reported,Offical rape reports 
Ohio State Univeristy,271,22
Michigan State Univerity,256,15
Univeristy of Arizona,256,21
Univeristy of Florida,214,7
Univeristy of Southern California,183,18
Univeristy of Minnesota-Twin Cites ,173,24
Univeristy of North Carolina at Chapel Hill,165,26
Texas A&M,162,9
Univeristy of Texas at Austin,157,48
Univeristy of Missouri-Columbia,156,18
Univeristy of Pittsburgh,140,21
Columbia Univeristy,104,21
"Univeristy of Wisconsin, Madison",133,22
Univeristy of Virginia,98,44
Univeristy of Oregon,97,13
Univeristy of Pennsylvania,94,9
Purdue Univeristy,90,9
Cornell Univeristy,77,27
Iowa State,77,27
Harvard Univeristy,58,33
Washington Univeristy in St. Louis,49,22
Yale Univeristy,46,13
Dartmouth College,28,48
Brown Univeristy,21,44
