ZIP_Code_Tabulation_Area_3_digit,ZIP_Code_Tabulation_Area_5_digit,Total_Population,Population_Density_Per_Sq_Mile,num_Households,Households_Less_than_10000,Households_10000_to_14999,Households_15000_to_19999,Households_20000_to_24999,Households_25000_to_29999,Households_30000_to_34999,Households_35000_to_39999,Households_40000_to_44999,Households_45000_to_49999,Households_50000_to_59999,Households_60000_to_74999,Households_75000_to_99999,Households_100000_to_124999,Households125000_to_149999,Households_150000_to_199999,Households_200000_or_more,Per_Capita_Income
800,80003,36518,5359.132,14198,735,350,658,673,653,681,941,834,628,1227,1737,2246,1299,769,492,275,27468
800,80004,37070,5029.373,14814,624,460,588,723,511,517,688,714,639,1046,1639,2362,1456,1170,920,757,33926
800,80005,27662,2433.828,10671,152,180,111,322,388,399,284,412,416,861,1183,1517,1454,897,1170,925,39008
800,80007,7537,293.685,2742,10,52,16,8,28,59,38,41,63,94,238,288,378,259,507,663,58424
800,80010,43987,7976.2,12952,1203,1173,1085,1124,1056,801,805,940,518,1091,1132,999,604,174,176,71,14408
800,80011,48360,1961.737,15838,1554,860,877,1420,1084,1020,975,1051,714,1572,1765,1432,883,276,213,142,17073
800,80012,49010,6311.671,18340,1403,803,815,1506,1319,1440,1090,969,1100,1931,1964,1617,989,749,469,176,21496
800,80013,72348,5172.031,24750,689,484,655,741,942,903,812,1644,1006,2439,3046,4293,3274,1478,1708,636,28463
800,80014,37617,5329.034,17930,983,695,910,825,1050,1266,941,1025,1084,1639,2337,2357,1242,620,566,390,30904
800,80015,65718,4596.447,21750,574,300,281,671,383,698,892,667,649,1630,2835,3545,2847,2104,2167,1507,33285
800,80016,47660,1014.026,16434,355,431,174,400,426,431,442,480,382,961,1211,2187,2179,1565,2171,2639,45210
800,80017,35269,6014.459,12713,560,513,596,696,656,756,707,740,765,1435,1755,1584,1008,515,281,146,23383
800,80018,10954,412.7849,3421,97,41,28,79,128,18,100,54,158,187,364,544,683,398,270,272,31959
800,80019,2368,96.39121,845,0,0,14,40,88,13,36,17,41,117,73,185,95,47,12,67,30104
800,80020,48889,2474.51,18249,648,586,458,572,529,511,618,653,638,1199,1900,3138,2510,1608,1521,1160,35825
800,80021,31685,1921.436,13034,247,200,339,375,343,510,419,713,604,1095,1601,2401,1577,1006,1026,578,36087
800,80022,46336,1006.282,13488,856,619,507,488,693,579,803,696,584,1184,1429,2150,1499,700,367,334,20710
800,80023,19094,1083.14,6911,153,44,78,187,206,165,96,147,179,488,565,856,682,735,1053,1277,50904
800,80024,347,8487.834,96,0,0,9,0,19,6,0,9,0,10,0,19,18,6,0,0,19314
800,80025,460,39.3546,147,0,14,0,0,0,0,0,0,0,0,9,10,34,27,32,21,42841
800,80026,28340,1271.609,11468,372,353,332,522,242,392,516,679,492,834,1297,1550,1217,799,897,974,38613
800,80027,32417,1668.788,12397,432,154,197,233,356,217,491,311,419,727,1014,1377,1787,1176,1852,1654,46316
800,80030,15703,5955.433,5990,444,367,397,430,482,351,321,269,302,491,453,921,439,160,134,29,21705
800,80031,35352,4194.248,13056,472,261,391,455,362,431,469,865,568,1067,1641,1962,1421,984,945,762,33540
800,80033,24805,2994.747,11345,715,514,409,783,616,625,725,820,607,1107,1080,1341,925,289,450,339,30692
800,80045,659,983.3651,424,154,55,15,4,4,8,43,13,27,34,22,5,5,0,26,9,24631
801,80101,418,1.779965,148,2,0,30,3,2,0,8,16,18,14,8,29,4,7,0,7,24404
801,80102,5101,17.17611,1850,89,31,46,116,118,73,33,106,41,168,267,203,250,126,129,54,29264
801,80103,2702,9.612944,948,72,24,14,30,42,41,44,11,50,81,179,85,116,67,43,49,31780
801,80104,28209,363.6034,10592,205,239,400,324,249,329,334,321,423,588,1001,1954,1446,1013,902,864,37314
801,80105,1399,2.805471,558,38,35,22,15,53,9,25,38,17,58,71,104,36,13,13,11,25212
801,80106,4336,24.66865,1512,21,10,30,62,51,20,11,43,49,77,176,255,224,174,178,131,44583
801,80107,12492,80.1378,4271,126,125,117,91,105,82,177,159,98,219,483,750,489,275,532,443,37443
801,80108,24912,700.183,8818,260,95,176,228,145,206,256,236,199,522,567,813,738,770,1195,2412,60947
801,80109,19152,726.1531,6463,124,87,75,70,160,129,101,91,208,341,497,1024,900,808,1006,842,42595
801,80110,22085,3490.028,8896,661,337,481,586,654,519,556,485,589,856,1075,962,558,273,207,97,24076
801,80111,31114,2888.736,12131,398,201,217,463,232,394,332,324,302,589,1325,1414,1378,960,1167,2435,55888
801,80112,31941,1724.458,13043,452,262,401,265,261,506,333,488,481,858,1238,2003,1501,1118,1512,1364,44522
801,80113,21285,2814.827,9499,757,561,358,430,435,446,480,420,454,867,1009,817,428,392,450,1195,55107
801,80116,3914,45.28075,1435,27,41,45,27,0,40,77,17,6,61,71,216,217,164,222,204,43893
801,80117,2624,10.76942,1011,31,17,3,59,27,20,53,14,61,66,111,206,163,59,55,66,36718
801,80118,6201,45.42074,2361,81,0,45,72,78,74,48,55,23,99,167,297,402,279,317,324,46521
801,80120,30556,3680.147,13418,796,759,631,669,712,584,571,538,355,977,1446,1715,1191,818,983,673,35507
801,80121,18907,2524.54,7122,340,89,291,134,188,314,251,200,255,436,624,776,917,417,613,1277,57945
801,80122,31383,4446.799,12326,340,231,316,363,351,331,367,463,340,1056,1532,1468,1705,1071,1282,1110,41481
801,80123,45527,3833.608,18660,685,414,570,755,558,734,757,600,758,1706,2088,3018,1821,1070,1365,1761,40851
801,80124,19652,2072.167,7665,237,79,87,67,112,216,129,311,223,600,615,1051,1032,631,747,1528,54928
801,80125,10876,258.1462,3776,24,36,15,20,26,120,74,74,90,402,388,559,593,408,461,486,43299
801,80126,42834,3994.14,15179,363,211,245,332,192,345,193,503,255,651,1363,1915,1991,1880,2271,2469,47883
801,80127,44341,856.4769,16168,414,90,318,334,224,509,396,332,456,961,1399,2482,2217,1709,2387,1940,44640
801,80128,35924,2910.532,14065,370,273,287,361,400,584,392,475,471,1086,1692,2351,1961,1328,1083,951,38865
