Licensee,DBA,License #,Street Address ,City,Zip 
 3B-38 LLC,BUDDY BOY,402R-00386,4012 West 38th Avenue,Denver,80212
1-11 LLC,1:11,402R-00581,17034 Highway 17,Moffat,81143
1617 WAZEE STREET LLC,LODO WELLNESS CENTER,402R-00081,"1617 Wazee Street, Unit B",Denver,80202
3-D DENVERS DISCREET DISPENSARY LLC,3D CANNABIS CENTER,402R-00248,248 East US Highway 50,Salida,81201
3LP LLC,MINDFUL,402R-00290,6403 North Jackson Gap Street,Aurora,80019
3LP LLC,MINDFUL,402R-00333,1401 Peoria Street,Aurora,80011
420 GREEN GENIE INC,,402R-00471,106 East 4th Avenue,Antonito,81120
4625 EAST COLFAX LLC,THE CLINIC ON COLFAX,402R-00047,4625 East Colfax Avenue,Denver,80220
505 CENTER LLC,PURE MEDICAL DISPENSARY,402R-00438,505 West 40th Avenue,Denver,80216
5110 RACE LLC,THE SANCTUARY,402R-00003,5110 Race Street,Denver,80216
5B1S LLC,1859,402R-00374,231 Gregory Street,Black Hawk,80422
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,402R-00055,2059 West 9th Avenue,Denver,80204
ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,402R-00237,"70 Broadway, Suite 50",Denver,80203
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY RETAIL CANNABIS,402R-00232,60250 County Road T,Moffat,81143
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY ANTONITO RETAIL CANNABIS,402R-00482,315 Main Street,Antonito,81120
ACES PLACE LLC,,402R-00502,"1101 Academy Court, Unit 4",Fort Collins,80524
ACME DISPENSARY INC,,402R-00156,"309 Belleview Avenue, Unit 1A",Crested Butte,81224
ACME HEALING CENTER OF CARBONDALE LLC,,402R-00347,958 Highway 133,Carbondale,81623
ACME HEALING CENTER OF GUNNISON LLC,,402R-00503,620 South 9th Street,Gunnison,81230
