CASEID,LST,MHINTAKE,MHDIAGEVAL,MHREFERRAL,MENTALHTHSERV,TREATMT,ADMINSERV,SETTINGIP,SETTINGRC,SETTINGDTPH,SETTINGOP,FACILITYTYPE,OWNERSHIP,FEDOWN,PSYCHOSES,MOOD,AUTISM,CONDUCT,ANXIETY,EATING,DISORDEROTH,CHILDAD,YOUNGADULTS,ADULT,SED1,SPMI1,SRVC81,ALZHDEMENTIA1,SRVC77,POSTTRAUM1,SRVC109,SRVC110,SRVC111,TRAUMATICBRAIN1,SRVC80,FORENSIC1,SED,SPMI,SRVC63,ALZHDEMENTIA,SRVC31,POSTTRAUM,SRVC113,SRVC114,SRVC115,TRAUMATICBRAIN,SRVC62,FORENSIC,SRVC35,MHCONSUMER,MHEMGCY,TREATTELEMDINCE,CRISISTEAM2,HEARIMPAIR,LANG,LANG16,LANG_B,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,FEESCALE,FEESCALELOCATOR,PAYASST,NOCHARGELOCATOR,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,REVCHK2A
201200001,AK,1,1,1,1,0,1,1,0,0,0,1,1,-2,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,0,0,1,1,-8,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,1,0,1,-3,1,1,-3,0
201200002,AK,1,1,1,1,0,1,1,1,0,0,1,1,-2,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,1,1,0,1,1,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,0,1,0,1,1,1,1,-3,0
201200003,AK,1,1,1,1,1,1,0,1,0,0,3,1,-2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,-2,-2,-2,1,0,-2,-2,1,0,0,0,0,1,0,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,1,0,1,-3,1,1,-3,-3
201200004,AK,1,1,1,1,0,0,0,1,0,0,3,1,-2,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,-2,-2,-2,1,1,-2,-2,0,-2,0,-2,0,0,0,0,-8,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,1,0,1,0,0,1,0,0
201200005,AK,1,1,0,1,0,0,0,0,0,1,5,1,-2,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,-2,-2,0,-2,0,0,0,-2,0,0,0,-2,0,0,0,1,-8,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,1,0,1,1,1,1,-3,0
201200006,AK,1,1,1,1,1,1,0,0,0,1,5,5,-2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,-2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,1,1,1,1,1,1,1,1,0
201200007,AK,1,1,1,1,1,1,0,0,0,1,5,5,-2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,1,1,-8,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,1,1,1,1,1,1,0,0
201200008,AK,1,1,1,1,1,1,0,1,0,1,6,2,-2,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,-2,-2,-2,1,1,-2,-2,0,-2,0,0,1,0,0,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,1,1,0,1,1,1,1,-3,0
201200009,AK,1,1,1,1,1,1,0,0,0,1,5,2,-2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,1,1,1,1,1,-3,0
201200010,AK,0,1,1,1,0,1,1,0,0,0,1,2,-2,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,1,1,1,1,1,-3,0
