imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",92,81,"$934,381,231",Daisy Ridley,f
tt0499549,Avatar,2009,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",83,83,"$843,234,239",Sam Worthington,m
tt0369610,Jurassic World,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",72,59,"$654,709,324",Chris Pratt,m
tt0848228,The Avengers,2012,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",92,69,"$645,861,503",Robert Downey Jr.,m
tt0468569,The Dark Knight,2008,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",94,82,"$589,422,987",Christian Bale,m
tt0298148,Shrek 2,2004,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",88,75,"$549,718,499",Mike Myers,m
tt0145487,Spider-Man,2002,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",89,73,"$533,968,064",Tobey Maguire,m
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",54,53,"$499,283,057",Johnny Depp,m
tt0167260,The Lord of the Rings: The Return of the King,2003,"Noel Appleby, Ali Astin, Sean Astin, David Aston",95,94,"$470,642,108",Noel Appleby,m
tt0316654,Spider-Man 2,2004,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",93,83,"$470,251,747",Tobey Maguire,m
tt0335345,The Passion of the Christ,2004,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",49,47,"$466,221,737",Jim Caviezel,m
tt1345836,The Dark Knight Rises,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",87,78,"$464,319,813",Christian Bale,m
tt2395427,Avengers: Age of Ultron,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",75,66,"$460,765,991",Robert Downey Jr.,m
tt0435761,Toy Story 3,2010,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",99,92,"$452,738,171",Tom Hanks,m
tt0167261,The Lord of the Rings: The Two Towers,2002,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",96,88,"$449,316,204",Bruce Allpress,m
tt1055369,Transformers: Revenge of the Fallen,2009,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",19,35,"$445,844,165",Shia LaBeouf,m
tt1951264,The Hunger Games: Catching Fire,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",89,76,"$433,609,883",Jennifer Lawrence,f
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets",80,64,"$426,788,024",Richard Harris,m
tt1392170,The Hunger Games,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",84,68,"$422,768,319",Stanley Tucci,m
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",91,92,"$421,681,618",Alan Howard,m
tt1300854,Iron Man 3,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",79,62,"$417,678,856",Robert Downey Jr.,m
tt2294629,Frozen,2013,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",89,74,"$409,202,732",Kristen Bell,f
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",66,54,"$407,254,810",Ewan McGregor,m
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",96,87,"$402,993,766",Ralph Fiennes,m
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",79,63,"$394,744,603",Johnny Depp,m
tt0413300,Spider-Man 3,2007,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",63,59,"$386,100,592",Tobey Maguire,m
tt1690953,Despicable Me 2,2013,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",74,62,"$375,808,848",Steve Carell,m
tt1399103,Transformers: Dark of the Moon,2011,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro",35,42,"$372,742,791",Shia LaBeouf,m
tt0413267,Shrek the Third,2007,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",40,58,"$367,971,648",Mike Myers,m
tt0234215,The Matrix Reloaded,2003,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",73,62,"$363,971,850",Ray Anthony,m
tt0126029,Shrek,2001,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",88,84,"$358,792,199",Mike Myers,m
tt2096673,Inside Out,2015,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",98,94,"$357,871,625",Amy Poehler,f
tt0170016,How the Grinch Stole Christmas,2000,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",53,46,"$357,844,918",Jim Carrey,m
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",76,75,"$355,398,456",Georgie Henley,m
tt0449088,Pirates of the Caribbean: At World's End,2007,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",45,50,"$355,006,012",Johnny Depp,m
tt0330373,Harry Potter and the Goblet of Fire,2005,"Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",88,81,"$353,327,227",Eric Sykes,m
