Gender,Year,AdjBoxOffice
f,2015,934381231
m,2009,843234239
m,2015,654709324
m,2012,645861503
m,2008,589422987
m,2004,549718499
m,2002,533968064
m,2006,499283057
m,2003,470642108
m,2004,470251747
m,2004,466221737
m,2012,464319813
m,2015,460765991
m,2010,452738171
m,2002,449316204
m,2009,445844165
f,2013,433609883
m,2001,426788024
m,2012,422768319
m,2001,421681618
m,2013,417678856
f,2013,409202732
m,2002,407254810
m,2011,402993766
m,2003,394744603
m,2007,386100592
m,2013,375808848
m,2011,372742791
m,2007,367971648
m,2003,363971850
m,2001,358792199
f,2015,357871625
m,2000,357844918
m,2005,355398456
m,2007,355006012
m,2005,353327227
m,2008,351796994
m,2004,351618339
m,2008,350360185
m,2010,348335658
m,2002,346279017
m,2010,340480923
f,2014,338797974
f,2015,337292752
m,2007,335041226
m,2014,334878330
m,2009,334743480
f,2009,328866897
m,2010,327826073
m,2009,324875255
m,2010,321825929
m,2010,319207684
f,2002,319163968
m,2004,314088874
m,2012,313967649
m,2003,313675207
m,2012,310133720
m,2009,307467264
m,2001,303696768
f,2012,302880342
m,2002,301439984
m,2011,297538442
m,2013,297174931
m,2006,296028820
m,2007,294078994
m,2006,288120554
m,2009,285734994
m,2005,285220358
f,2009,283295658
m,2002,281864242
f,2013,279916318
m,2003,277730563
m,2006,276435206
m,2010,274370241
m,2013,274197488
m,2012,271483577
m,2001,269698855
m,2011,269191374
m,2001,265801861
f,2005,265726442
m,2013,263883169
m,2014,261008110
m,2007,260919092
m,2010,259969894
m,2014,259098540
m,2000,258781286
m,2006,256723558
m,2011,255017840
m,2005,254882951
m,2007,252313581
m,2008,251883553
m,2002,251839285
m,2005,251471516
m,2000,250767771
m,2005,250009472
m,2007,249215597
m,2006,248579224
m,2008,247241556
m,2014,246636081
m,2001,246316892
f,2012,245889515
m,2013,243765141
m,2009,243157486
f,2014,242615933
m,2001,242016760
m,2013,239884506
m,2001,239329178
m,2008,238068088
m,2010,237169345
m,2007,236823661
m,2006,236067639
m,2005,235267198
m,2004,234999935
m,2013,233655066
m,2006,233588929
m,2002,233057153
m,2009,231404320
m,2006,230520050
m,2001,229385125
m,2000,227279880
m,2005,226738610
m,2012,226512633
m,2012,224233000
m,2003,224201488
m,2014,223620733
m,2011,221911003
m,2004,221650528
m,2012,221642508
m,2011,221487912
m,2001,220247346
f,2009,219872912
f,2010,219059819
m,2004,217872394
m,2002,217449467
m,2005,216382467
m,2000,215812263
f,2000,214154295
f,2008,211542396
m,2013,210779745
m,2007,209974467
m,2013,206694866
m,2014,203922008
m,2002,202635391
m,2011,202554609
m,2004,202507983
f,2015,201873727
m,2014,201710927
m,2015,200568725
m,2009,199249431
m,2008,198942692
m,2011,197583295
m,2006,197116479
m,2009,196366579
m,2012,196255685
m,2003,194333815
m,2001,193505905
m,2007,192992925
f,2002,192847520
m,2014,192665594
m,2010,192659183
m,2005,192380583
f,2014,192163075
m,2006,191922991
m,2001,191490218
m,2011,191448482
m,2013,191172327
m,2012,188795068
m,2005,188238126
m,2010,187749974
m,2000,187350467
m,2011,186900258
m,2011,186794486
m,2002,186630898
m,2010,186549945
m,2008,186121940
m,2012,185479238
m,2009,184169897
m,2002,184117796
m,2006,182952420
f,2009,181730561
m,2015,180893315
f,2003,179852520
f,2011,179496173
m,2006,179293372
m,2003,179076736
m,2003,178947439
f,2011,178861537
m,2015,178082542
m,2010,178040649
m,2014,177891550
m,2010,176731527
m,2000,176435506
m,2006,174926120
m,2011,174736404
m,2002,174462194
f,2001,174020935
m,2003,172999764
f,2000,171876092
m,2009,171862336
m,2000,171047107
m,2003,170801710
m,2008,170648620
m,2015,170352916
f,2002,170097332
m,2000,169112811
m,2012,168692849
f,2008,168659193
f,2002,168245573
m,2004,167623212
m,2012,167138553
