Month,Year,La Nina,El Nino
January,2009,f,t
February,2009,f,t
March,2009,f,t
April,2009,f,t
October,2009,f,t
November,2009,f,t
December,2009,f,t
January,2010,f,t
February,2010,f,t
March,2010,f,t
April,2010,f,t
October,2010,t,f
November,2010,t,f
December,2010,t,f
January,2011,t,f
February,2011,t,f
March,2011,t,f
April,2011,t,f
October,2011,t,f
November,2011,t,f
December,2011,t,f
January,2012,t,f
February,2012,f,f
March,2012,f,f
April,2012,f,f
October,2012,f,f
November,2012,f,f
December,2012,f,f
January,2013,f,f
February,2013,f,f
March,2013,f,f
April,2013,f,f
October,2013,f,f
November,2013,f,f
December,2013,f,f
January,2014,f,f
February,2014,f,f
March,2014,f,f
April,2014,f,f
October,2014,f,t
November,2014,f,t
December,2014,f,t
January,2015,f,t
February,2015,f,t
March,2015,f,t
April,2015,f,t
October,2015,f,t
November,2015,f,t
December,2015,f,t
January,2016,f,t
February,2016,f,t
March,2016,f,f
April,2016,f,f
October,2016,t,f
November,2016,t,f
