observation,year,region,inmigrants,outmigrants,net_internal_migration,movers_from_abroad,net_migration ,,,,,,,,,,,
1,2015-2016,northeast,337,553,-216,266,50,,,,,,,,,,,
2,2015-2016,midwest,442,513,-71,163,92,,,,,,,,,,,
3,2015-2016,south,940,901,39,497,536,,,,,,,,,,,
4,2015-2016,west,719,472,247,355,602,,,,,,,,,,,
5,2014-2015,northeast,403,504,-101,314,213,,,,,,,,,,,
6,2014-2015,midwest,463,575,-112,357,245,,,,,,,,,,,
7,2014-2015,south,1010,740,271,589,860,, ,,,,,,,,,
8,2014-2015,west,562,620,-57,413,356,,,,,,,,,,,
9,2013-2014,northeast,374,469,-94,233,139,,,,,,,,,,,
10,2013-2014,midwest,564,566,-2,142,140,,,,,,,,,,,
11,2013-2014,south,941,755,186,447,633,,,,,,,,,,,
12,2013-2014,west,580,670,-90,311,221,,,,,,,,,,,
13,2012-2013,northeast,234,399,-165,130,-35,,,,,,,,,,,
14,2012-2013,midwest,526,707,-182,210,28,,,,,,,,,,,
15,2012-2013,south,1102,720,382,400,782,,,,,,,,,,,
16,2012-2013,west,586,621,-36,296,260,,,,,,,,,,,
17,2011-2012,northeast,273,598,-324,316,-8,,,,,,,,,,,
18,2011-2012,midwest,563,663,-99,126,27,,,,,,,,,,,
19,2011-2012,south,1064,901,164,349,513,,,,,,,,,,,
20,2011-2012,west,839,579,260,363,623,,,,,,,,,,,
21,2010-2011,northeast,242,528,-286,196,-90,,,,,,,,,,,
22,2010-2011,midwest,543,487,55,175,230,,,,,,,,,,,
23,2010-2011,south,1062,822,240,381,621,,,,,,,,,,,
24,2010-2011,west,602,611,-9,333,324,,,,,,,,,,,
25,2009-2010,northeast,248,376,-128,140,12,,,,,,,,,,,
26,2009-2010,midwest,415,633,-218,112,-106,,,,,,,,,,,
27,2009-2010,south,899,692,207,403,610,,,,,,,,,,,
28,2009-2010,west,617,477,139,331,470,,,,,,,,,,,
29,2008-2009,northeast,236,368,-132,184,52,,,,,,,,,,,
30,2008-2009,midwest,466,529,-62,201,139,,,,,,,,,,,
31,2008-2009,south,738,591,147,396,543,,,,,,,,,,,
32,2008-2009,west,478,431,47,306,353,,,,,,,,,,,
33,2007-2008,northeast,409,531,-123,162,39,,,,,,,,,,,
34,2007-2008,midwest,464,560,-97,242,145,,,,,,,,,,,
35,2007-2008,south,1038,773,265,344,609,,,,,,,,,,,
36,2007-2008,west,569,614,-45,398,352,,,,,,,,,,,
37,2006-2007,northeast,313,594,-281,218,-63,,,,,,,,,,,
38,2006-2007,midwest,588,528,60,178,238,,,,,,,,,,,
39,2006-2007,south,1032,725,307,458,765,,,,,,,,,,,
40,2006-2007,west,515,601,-86,336,250,,,,,,,,,,,
41,2005-2006,northeast,328,609,-281,199,-81,,,,,,,,,,,
42,2005-2006,midwest,568,702,-134,176,42,,,,,,,,,,,
43,2005-2006,south,1197,894,303,538,841,,,,,,,,,,,
44,2005-2006,west,648,536,112,383,495,,,,,,,,,,,
45,2004-2005,northeast,362,774,-411,323,-88,,,,,,,,,,,
46,2004-2005,midwest,679,758,-79,259,180,,,,,,,,,,,
47,2004-2005,south,1335,907,428,685,1113,,,,,,,,,,,
48,2004-2005,west,718,655,63,597,660,,,,,,,,,,,
49,2003-2004,northeast,426,640,-215,205,-10,,,,,,,,,,,
50,2003-2004,midwest,559,670,-111,203,92,,,,,,,,,,,
51,2003-2004,south,1163,744,419,455,1127,,,,,,,,,,,
