CA,Lat,Long
0,42.00607411,-87.92736489
1,41.99813061,-87.66581404
2,42.01290406,-87.70296828
3,41.96307079,-87.65598421
4,41.9813162,-87.69511867
5,41.9614824,-87.67685562
6,41.94998639,-87.65319658
7,41.92732184,-87.66581042
8,41.88993449,-87.63761923
9,42.00653363,-87.81762117
10,41.99596152,-87.79752856
11,41.96867455,-87.7686193
12,41.97163904,-87.75118821
13,41.98121682,-87.71201961
14,41.96119177,-87.70736456
15,41.94525754,-87.74767892
16,41.95101895,-87.71038665
17,41.93935715,-87.77685754
18,41.93357111,-87.79678313
19,41.93653888,-87.78198708
20,41.91584125,-87.72896364
21,41.93666461,-87.71609818
22,41.91550919,-87.71301005
23,41.89432798,-87.71994015
24,41.89011713,-87.64515722
25,41.88728587,-87.75694927
26,41.87879882,-87.73144991
27,41.87732994,-87.70518365
28,41.87989984,-87.68322514
29,41.86243578,-87.71204386
30,41.84174575,-87.7256979
31,41.84752834,-87.66595058
32,41.88375352,-87.62623239
33,41.85477087,-87.63014895
34,41.82728981,-87.63193941
35,41.83112222,-87.62590563
36,41.82098229,-87.60140023
37,41.80171934,-87.63070362
38,41.82121883,-87.6184791
39,41.8164553,-87.59855738
40,41.79874193,-87.62580711
41,41.79581365,-87.58255087
42,41.77494685,-87.60656514
43,41.75332296,-87.58410173
44,41.72883584,-87.60463426
45,41.73706439,-87.57511628
46,41.75135057,-87.55531254
47,41.72578729,-87.59908952
48,41.72621915,-87.56729444
49,41.69797838,-87.62923419
50,41.71704472,-87.60309358
51,41.71530806,-87.56733978
52,41.71868734,-87.53286496
53,41.66688601,-87.62225684
54,41.65488463,-87.60510616
55,41.65642927,-87.54713934
56,41.80897234,-87.74442123
57,41.80410239,-87.73245761
58,41.80811735,-87.70427567
59,41.83322493,-87.67781194
60,41.84503325,-87.6440184
61,41.81295381,-87.65526084
62,41.79230353,-87.73170972
63,41.7985267,-87.69148946
64,41.77871507,-87.77152818
65,41.77333213,-87.71362303
66,41.77724747,-87.6964201
67,41.78566567,-87.67286259
68,41.78272837,-87.64972028
69,41.75594919,-87.61987456
70,41.75487611,-87.68419517
71,41.75231021,-87.65428696
72,41.72042029,-87.66393777
73,41.72124785,-87.65996945
74,41.68523673,-87.70302487
75,41.69705009,-87.67398975
76,41.97629041,-87.90522722
77,41.99010759,-87.65521578
