"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Occupied Housing Units:","Occupied Housing Units: Gas (Utility, Bottled, Tank, or Lp Gas)","Occupied Housing Units: Electricity","Occupied Housing Units: Fuel Oil, Kerosene, Etc.","Occupied Housing Units: Coal, Coke or Wood","Occupied Housing Units: Solar Energy","Occupied Housing Units: Other Fuel","Occupied Housing Units: No Fuel Used","Workers 16 Years and Over:","Workers 16 Years and Over: Car, Truck, or Van","Workers 16 Years and Over: Drove Alone","Workers 16 Years and Over: Carpooled","Workers 16 Years and Over: Public Transportation (Includes Taxicab)","Workers 16 Years and Over: Motorcycle","Workers 16 Years and Over: Bicycle","Workers 16 Years and Over: Walked","Workers 16 Years and Over: Other Means","Workers 16 Years and Over: Worked at Home","Workers 16 Years and Over:","Workers 16 Years and Over: Did Not Work at Home","Workers 16 Years and Over: Did Not Work at Home: Less than 10 Minutes","Workers 16 Years and Over: Did Not Work at Home: 10 to 19 Minutes","Workers 16 Years and Over: Did Not Work at Home: 20 to 29 Minutes","Workers 16 Years and Over: Did Not Work at Home: 30 to 39 Minutes","Workers 16 Years and Over: Did Not Work at Home: 40 to 59 Minutes","Workers 16 Years and Over: Did Not Work at Home: 60 to 89 Minutes","Workers 16 Years and Over: Did Not Work at Home: 90 or More Minutes","Workers 16 Years and Over: Worked at Home"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010
"50001","05000US50001","Addison County, Vermont","Addison County, Vermont","vt","050","00","ACSSF","0000013",,,,,"50","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36943,36943,48.20798,766.325317337378,14336,3399,358,7474,2895,22,185,3,19033,15476,13434,2042,131,45,101,1642,70,1568,19033,17465,3866,4290,3276,2615,2224,844,350,1568
"50003","05000US50003","Bennington County, Vermont","Bennington County, Vermont","vt","050","00","ACSSF","0000014",,,,,"50","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36589,36589,54.20751,674.980239290684,15636,2585,351,10099,2291,17,283,10,17453,14885,13252,1633,75,2,117,1010,187,1177,17453,16276,4889,5335,2438,1793,1051,545,225,1177
"50005","05000US50005","Caledonia County, Vermont","Caledonia County, Vermont","vt","050","00","ACSSF","0000015",,,,,"50","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31012,31012,47.79432,648.863670410828,12287,2041,247,6581,3245,0,148,25,14523,12562,11158,1404,60,22,1,717,109,1052,14523,13471,2451,4327,2574,1494,1462,769,394,1052
"50007","05000US50007","Chittenden County, Vermont","Chittenden County, Vermont","vt","050","00","ACSSF","0000016",,,,,"50","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159711,159711,297.6472,536.578238972536,63498,40929,5394,12557,3856,10,552,200,87098,71049,63732,7317,2156,156,1772,6480,329,5156,87098,81942,11960,30339,20709,11381,5429,1199,925,5156
"50009","05000US50009","Essex County, Vermont","Essex County, Vermont","vt","050","00","ACSSF","0000017",,,,,"50","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6207,6207,9.353556,663.597922461417,2701,292,12,1466,873,0,54,4,2593,2311,2031,280,8,0,7,70,9,188,2593,2405,411,604,512,408,300,73,97,188
"50011","05000US50011","Franklin County, Vermont","Franklin County, Vermont","vt","050","00","ACSSF","0000018",,,,,"50","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48418,48418,76.40451,633.706027981597,18685,6689,364,7804,3519,0,290,19,24677,22318,19455,2863,138,59,19,913,132,1098,24677,23579,4518,5488,3398,4197,4292,1411,275,1098
"50013","05000US50013","Grand Isle County, Vermont","Grand Isle County, Vermont","vt","050","00","ACSSF","0000019",,,,,"50","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6952,6952,84.9759,81.8114307865519,2965,776,106,1524,506,0,51,2,3643,3239,2724,515,23,0,10,80,16,275,3643,3368,378,435,483,925,764,273,110,275
"50015","05000US50015","Lamoille County, Vermont","Lamoille County, Vermont","vt","050","00","ACSSF","0000020",,,,,"50","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25027,25027,54.54921,458.796775892398,10176,2680,337,4710,2282,9,113,45,12901,11261,10181,1080,47,2,23,621,203,744,12901,12157,2293,3862,1582,1334,1914,988,184,744
"50017","05000US50017","Orange County, Vermont","Orange County, Vermont","vt","050","00","ACSSF","0000021",,,,,"50","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28929,28929,42.10715,687.033002469509,12148,2827,234,5383,3534,0,147,23,14862,12892,11354,1538,85,30,47,617,114,1077,14862,13785,2161,2958,2948,2827,1868,725,298,1077
