State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
Alabama,1999,39,4430141,0.9,0.6,1.2,116
Alabama,2000,46,4447100,1,0.8,1.4,126
Alabama,2001,67,4467634,1.5,1.2,1.9,138
Alabama,2002,75,4480089,1.7,1.3,2.1,142
Alabama,2003,54,4503491,1.2,0.9,1.6,149
Alabama,2004,92,4530729,2,1.6,2.5,155
Alabama,2005,83,4569805,1.8,1.4,2.3,163
Alabama,2006,134,4628981,2.9,2.4,3.4,174
Alabama,2007,172,4672840,3.7,3.1,4.2,184
Alabama,2008,195,4718206,4.1,3.6,4.7,196
Alabama,2009,210,4757938,4.4,3.8,5,202
Alabama,2010,194,4779736,4.1,3.5,4.6,210
Alabama,2011,180,4802740,3.7,3.2,4.3,219
Alabama,2012,175,4822023,3.6,3.1,4.2,217
Alabama,2013,175,4833722,3.6,3.1,4.2,207
Alabama,2014,282,4849377,5.8,5.1,6.5,196
Alaska,1999,28,624779,4.5,3,6.5,116
Alaska,2000,27,626932,4.3,2.8,6.3,126
Alaska,2001,17,633714,Unreliable,1.6,4.3,138
Alaska,2002,Suppressed,642337,Suppressed,Suppressed,Suppressed,142
Alaska,2003,14,648414,Unreliable,1.2,3.6,149
Alaska,2004,11,659286,Unreliable,0.8,3,155
Alaska,2005,19,666946,Unreliable,1.7,4.4,163
Alaska,2006,29,675302,4.3,2.9,6.2,174
Alaska,2007,16,680300,Unreliable,1.3,3.8,184
Alaska,2008,94,687455,13.7,11,16.7,196
Alaska,2009,94,698895,13.4,10.9,16.5,202
Alaska,2010,71,710231,10,7.8,12.6,210
Alaska,2011,72,722718,10,7.8,12.5,219
Alaska,2012,81,731449,11.1,8.8,13.8,217
Alaska,2013,69,735132,9.4,7.3,11.9,207
Alaska,2014,79,736732,10.7,8.5,13.4,196
Arizona,1999,250,5023823,5,4.4,5.6,116
Arizona,2000,249,5130632,4.9,4.3,5.5,126
Arizona,2001,275,5273477,5.2,4.6,5.8,138
Arizona,2002,340,5396255,6.3,5.6,7,142
Arizona,2003,350,5510364,6.4,5.7,7,149
Arizona,2004,360,5652404,6.4,5.7,7,155
Arizona,2005,393,5839077,6.7,6.1,7.4,163
Arizona,2006,479,6029141,7.9,7.2,8.7,174
Arizona,2007,490,6167681,7.9,7.2,8.6,184
Arizona,2008,515,6280362,8.2,7.5,8.9,196
Arizona,2009,625,6343154,9.9,9.1,10.6,202
Arizona,2010,650,6392017,10.2,9.4,11,210
Arizona,2011,596,6482505,9.2,8.5,9.9,219
Arizona,2012,565,6553255,8.6,7.9,9.3,217
Arizona,2013,545,6626624,8.2,7.5,8.9,207
Arizona,2014,616,6731484,9.2,8.4,9.9,196
Arkansas,1999,29,2651860,1.1,0.7,1.6,116
Arkansas,2000,20,2673400,0.7,0.5,1.2,126
Arkansas,2001,30,2691571,1.1,0.8,1.6,138
Arkansas,2002,96,2705927,3.5,2.9,4.3,142
Arkansas,2003,98,2724816,3.6,2.9,4.4,149
Arkansas,2004,133,2749686,4.8,4,5.7,155
Arkansas,2005,127,2781097,4.6,3.8,5.4,163
Arkansas,2006,149,2821761,5.3,4.4,6.1,174
Arkansas,2007,156,2848650,5.5,4.6,6.3,184
Arkansas,2008,210,2874554,7.3,6.3,8.3,196
Arkansas,2009,221,2896843,7.6,6.6,8.6,202
Arkansas,2010,198,2915918,6.8,5.8,7.7,210
Arkansas,2011,176,2937979,6,5.1,6.9,219
Arkansas,2012,181,2949131,6.1,5.2,7,217
Arkansas,2013,175,2959373,5.9,5,6.8,207
Arkansas,2014,179,2966369,6,5.2,6.9,196
California,1999,1598,33499204,4.8,4.5,5,116
California,2000,1105,33871648,3.3,3.1,3.5,126
California,2001,605,34479458,1.8,1.6,1.9,138
California,2002,1583,34871843,4.5,4.3,4.8,142
California,2003,1530,35253159,4.3,4.1,4.6,149
California,2004,1547,35574576,4.3,4.1,4.6,155
California,2005,1485,35827943,4.1,3.9,4.4,163
California,2006,1602,36021202,4.4,4.2,4.7,174
California,2007,1762,36250311,4.9,4.6,5.1,184
California,2008,1889,36604337,5.2,4.9,5.4,196
California,2009,2128,36961229,5.8,5.5,6,202
California,2010,2059,37253956,5.5,5.3,5.8,210
California,2011,2057,37691912,5.5,5.2,5.7,219
California,2012,1847,38041430,4.9,4.6,5.1,217
California,2013,2088,38332521,5.4,5.2,5.7,207
California,2014,2159,38802500,5.6,5.3,5.8,196
Colorado,1999,169,4226018,4,3.4,4.6,116
Colorado,2000,184,4301261,4.3,3.7,4.9,126
Colorado,2001,204,4425687,4.6,4,5.2,138
Colorado,2002,206,4490406,4.6,4,5.2,142
Colorado,2003,229,4528732,5.1,4.4,5.7,149
Colorado,2004,233,4575013,5.1,4.4,5.7,155
Colorado,2005,310,4631888,6.7,5.9,7.4,163
Colorado,2006,337,4720423,7.1,6.4,7.9,174
Colorado,2007,368,4803868,7.7,6.9,8.4,184
Colorado,2008,365,4889730,7.5,6.7,8.2,196
Colorado,2009,412,4972195,8.3,7.5,9.1,202
Colorado,2010,325,5029196,6.5,5.8,7.2,210
Colorado,2011,423,5116796,8.3,7.5,9.1,219
Colorado,2012,415,5187582,8,7.2,8.8,217
Colorado,2013,443,5268367,8.4,7.6,9.2,207
Colorado,2014,532,5355866,9.9,9.1,10.8,196
Connecticut,1999,158,3386401,4.7,3.9,5.4,116
Connecticut,2000,173,3405565,5.1,4.3,5.8,126
Connecticut,2001,158,3432835,4.6,3.9,5.3,138
Connecticut,2002,174,3458749,5,4.3,5.8,142
Connecticut,2003,168,3484336,4.8,4.1,5.6,149
Connecticut,2004,196,3496094,5.6,4.8,6.4,155
Connecticut,2005,175,3506956,5,4.3,5.7,163
Connecticut,2006,238,3517460,6.8,5.9,7.6,174
Connecticut,2007,249,3527270,7.1,6.2,7.9,184
Connecticut,2008,233,3545579,6.6,5.7,7.4,196
Connecticut,2009,220,3561807,6.2,5.4,7,202
Connecticut,2010,225,3574097,6.3,5.5,7.1,210
Connecticut,2011,213,3580709,5.9,5.1,6.7,219
Connecticut,2012,202,3590347,5.6,4.9,6.4,217
Connecticut,2013,442,3596080,12.3,11.1,13.4,207
Connecticut,2014,531,3596677,14.8,13.5,16,196
Delaware,1999,32,774990,4.1,2.8,5.8,116
Delaware,2000,36,783600,4.6,3.2,6.4,126
Delaware,2001,40,795699,5,3.6,6.8,138
