"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2009"	"2009"	"Heroin"	"T40.1"	12	4757938	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"Heroin"	"T40.1"	14	4802740	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"Heroin"	"T40.1"	36	4822023	0.7
	"Alabama"	"01"	"2013"	"2013"	"Heroin"	"T40.1"	42	4833722	0.9
	"Alabama"	"01"	"2014"	"2014"	"Heroin"	"T40.1"	125	4849377	2.6
	"Alabama"	"01"	"2015"	"2015"	"Heroin"	"T40.1"	111	4858979	2.3
	"Alaska"	"02"	"2011"	"2011"	"Heroin"	"T40.1"	12	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	"Heroin"	"T40.1"	23	731449	3.1
	"Alaska"	"02"	"2013"	"2013"	"Heroin"	"T40.1"	24	735132	3.3
	"Alaska"	"02"	"2014"	"2014"	"Heroin"	"T40.1"	25	736732	3.4
	"Alaska"	"02"	"2015"	"2015"	"Heroin"	"T40.1"	39	738432	5.3
	"Arizona"	"04"	"1999"	"1999"	"Heroin"	"T40.1"	27	5023823	0.5
	"Arizona"	"04"	"2000"	"2000"	"Heroin"	"T40.1"	15	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"Heroin"	"T40.1"	24	5273477	0.5
	"Arizona"	"04"	"2002"	"2002"	"Heroin"	"T40.1"	26	5396255	0.5
	"Arizona"	"04"	"2003"	"2003"	"Heroin"	"T40.1"	65	5510364	1.2
	"Arizona"	"04"	"2004"	"2004"	"Heroin"	"T40.1"	42	5652404	0.7
	"Arizona"	"04"	"2005"	"2005"	"Heroin"	"T40.1"	33	5839077	0.6
	"Arizona"	"04"	"2006"	"2006"	"Heroin"	"T40.1"	52	6029141	0.9
	"Arizona"	"04"	"2007"	"2007"	"Heroin"	"T40.1"	52	6167681	0.8
	"Arizona"	"04"	"2008"	"2008"	"Heroin"	"T40.1"	63	6280362	1.0
	"Arizona"	"04"	"2009"	"2009"	"Heroin"	"T40.1"	84	6343154	1.3
	"Arizona"	"04"	"2010"	"2010"	"Heroin"	"T40.1"	91	6392017	1.4
	"Arizona"	"04"	"2011"	"2011"	"Heroin"	"T40.1"	118	6482505	1.8
	"Arizona"	"04"	"2012"	"2012"	"Heroin"	"T40.1"	102	6553255	1.6
	"Arizona"	"04"	"2013"	"2013"	"Heroin"	"T40.1"	147	6626624	2.2
	"Arizona"	"04"	"2014"	"2014"	"Heroin"	"T40.1"	199	6731484	3.0
	"Arizona"	"04"	"2015"	"2015"	"Heroin"	"T40.1"	252	6828065	3.7
	"California"	"06"	"1999"	"1999"	"Heroin"	"T40.1"	489	33499204	1.5
	"California"	"06"	"2000"	"2000"	"Heroin"	"T40.1"	346	33871648	1.0
	"California"	"06"	"2001"	"2001"	"Heroin"	"T40.1"	232	34479458	0.7
	"California"	"06"	"2002"	"2002"	"Heroin"	"T40.1"	383	34871843	1.1
	"California"	"06"	"2003"	"2003"	"Heroin"	"T40.1"	369	35253159	1.0
	"California"	"06"	"2004"	"2004"	"Heroin"	"T40.1"	312	35574576	0.9
	"California"	"06"	"2005"	"2005"	"Heroin"	"T40.1"	269	35827943	0.8
	"California"	"06"	"2006"	"2006"	"Heroin"	"T40.1"	289	36021202	0.8
	"California"	"06"	"2007"	"2007"	"Heroin"	"T40.1"	299	36250311	0.8
	"California"	"06"	"2008"	"2008"	"Heroin"	"T40.1"	333	36604337	0.9
	"California"	"06"	"2009"	"2009"	"Heroin"	"T40.1"	364	36961229	1.0
	"California"	"06"	"2010"	"2010"	"Heroin"	"T40.1"	334	37253956	0.9
	"California"	"06"	"2011"	"2011"	"Heroin"	"T40.1"	372	37691912	1.0
	"California"	"06"	"2012"	"2012"	"Heroin"	"T40.1"	368	38041430	1.0
	"California"	"06"	"2013"	"2013"	"Heroin"	"T40.1"	497	38332521	1.3
	"California"	"06"	"2014"	"2014"	"Heroin"	"T40.1"	578	38802500	1.5
	"California"	"06"	"2015"	"2015"	"Heroin"	"T40.1"	609	39144818	1.6
	"Colorado"	"08"	"1999"	"1999"	"Heroin"	"T40.1"	43	4226018	1.0
	"Colorado"	"08"	"2000"	"2000"	"Heroin"	"T40.1"	38	4301261	0.9
	"Colorado"	"08"	"2001"	"2001"	"Heroin"	"T40.1"	23	4425687	0.5
	"Colorado"	"08"	"2002"	"2002"	"Heroin"	"T40.1"	28	4490406	0.6
	"Colorado"	"08"	"2003"	"2003"	"Heroin"	"T40.1"	23	4528732	0.5
	"Colorado"	"08"	"2004"	"2004"	"Heroin"	"T40.1"	23	4575013	0.5
	"Colorado"	"08"	"2005"	"2005"	"Heroin"	"T40.1"	42	4631888	0.9
	"Colorado"	"08"	"2006"	"2006"	"Heroin"	"T40.1"	39	4720423	0.8
	"Colorado"	"08"	"2007"	"2007"	"Heroin"	"T40.1"	39	4803868	0.8
	"Colorado"	"08"	"2008"	"2008"	"Heroin"	"T40.1"	48	4889730	1.0
	"Colorado"	"08"	"2009"	"2009"	"Heroin"	"T40.1"	73	4972195	1.5
	"Colorado"	"08"	"2010"	"2010"	"Heroin"	"T40.1"	46	5029196	0.9
	"Colorado"	"08"	"2011"	"2011"	"Heroin"	"T40.1"	80	5116796	1.6
	"Colorado"	"08"	"2012"	"2012"	"Heroin"	"T40.1"	91	5187582	1.8
	"Colorado"	"08"	"2013"	"2013"	"Heroin"	"T40.1"	120	5268367	2.3
	"Colorado"	"08"	"2014"	"2014"	"Heroin"	"T40.1"	159	5355866	3.0
	"Colorado"	"08"	"2015"	"2015"	"Heroin"	"T40.1"	164	5456574	3.0
	"Connecticut"	"09"	"1999"	"1999"	"Heroin"	"T40.1"	98	3386401	2.9
	"Connecticut"	"09"	"2000"	"2000"	"Heroin"	"T40.1"	113	3405565	3.3
	"Connecticut"	"09"	"2001"	"2001"	"Heroin"	"T40.1"	98	3432835	2.9
	"Connecticut"	"09"	"2002"	"2002"	"Heroin"	"T40.1"	90	3458749	2.6
	"Connecticut"	"09"	"2003"	"2003"	"Heroin"	"T40.1"	109	3484336	3.1
	"Connecticut"	"09"	"2004"	"2004"	"Heroin"	"T40.1"	94	3496094	2.7
	"Connecticut"	"09"	"2005"	"2005"	"Heroin"	"T40.1"	82	3506956	2.3
	"Connecticut"	"09"	"2006"	"2006"	"Heroin"	"T40.1"	93	3517460	2.6
	"Connecticut"	"09"	"2007"	"2007"	"Heroin"	"T40.1"	120	3527270	3.4
	"Connecticut"	"09"	"2008"	"2008"	"Heroin"	"T40.1"	109	3545579	3.1
	"Connecticut"	"09"	"2009"	"2009"	"Heroin"	"T40.1"	100	3561807	2.8
	"Connecticut"	"09"	"2010"	"2010"	"Heroin"	"T40.1"	77	3574097	2.2
	"Connecticut"	"09"	"2011"	"2011"	"Heroin"	"T40.1"	85	3580709	2.4
	"Connecticut"	"09"	"2012"	"2012"	"Heroin"	"T40.1"	98	3590347	2.7
	"Connecticut"	"09"	"2013"	"2013"	"Heroin"	"T40.1"	229	3596080	6.4
	"Connecticut"	"09"	"2014"	"2014"	"Heroin"	"T40.1"	300	3596677	8.3
	"Connecticut"	"09"	"2015"	"2015"	"Heroin"	"T40.1"	392	3590886	10.9
	"Delaware"	"10"	"1999"	"1999"	"Heroin"	"T40.1"	14	774990	Unreliable
	"Delaware"	"10"	"2002"	"2002"	"Heroin"	"T40.1"	15	806169	Unreliable
	"Delaware"	"10"	"2007"	"2007"	"Heroin"	"T40.1"	10	871749	Unreliable
	"Delaware"	"10"	"2010"	"2010"	"Heroin"	"T40.1"	17	897934	Unreliable
	"Delaware"	"10"	"2011"	"2011"	"Heroin"	"T40.1"	15	907135	Unreliable
	"Delaware"	"10"	"2012"	"2012"	"Heroin"	"T40.1"	20	917092	2.2
	"Delaware"	"10"	"2013"	"2013"	"Heroin"	"T40.1"	39	925749	4.2
	"Delaware"	"10"	"2014"	"2014"	"Heroin"	"T40.1"	54	935614	5.8
	"Delaware"	"10"	"2015"	"2015"	"Heroin"	"T40.1"	66	945934	7.0
	"District of Columbia"	"11"	"1999"	"1999"	"Heroin"	"T40.1"	19	570213	Unreliable
	"District of Columbia"	"11"	"2010"	"2010"	"Heroin"	"T40.1"	16	601723	Unreliable
	"District of Columbia"	"11"	"2011"	"2011"	"Heroin"	"T40.1"	24	617996	3.9
	"District of Columbia"	"11"	"2012"	"2012"	"Heroin"	"T40.1"	25	632323	4.0
	"District of Columbia"	"11"	"2013"	"2013"	"Heroin"	"T40.1"	35	646449	5.4
	"District of Columbia"	"11"	"2014"	"2014"	"Heroin"	"T40.1"	38	658893	5.8
	"District of Columbia"	"11"	"2015"	"2015"	"Heroin"	"T40.1"	67	672228	10.0
	"Florida"	"12"	"1999"	"1999"	"Heroin"	"T40.1"	127	15759421	0.8
	"Florida"	"12"	"2000"	"2000"	"Heroin"	"T40.1"	171	15982378	1.1
	"Florida"	"12"	"2001"	"2001"	"Heroin"	"T40.1"	210	16356966	1.3
	"Florida"	"12"	"2002"	"2002"	"Heroin"	"T40.1"	210	16689370	1.3
	"Florida"	"12"	"2003"	"2003"	"Heroin"	"T40.1"	211	17004085	1.2
	"Florida"	"12"	"2004"	"2004"	"Heroin"	"T40.1"	146	17415318	0.8
	"Florida"	"12"	"2005"	"2005"	"Heroin"	"T40.1"	110	17842038	0.6
	"Florida"	"12"	"2006"	"2006"	"Heroin"	"T40.1"	90	18166990	0.5
	"Florida"	"12"	"2007"	"2007"	"Heroin"	"T40.1"	79	18367842	0.4
	"Florida"	"12"	"2008"	"2008"	"Heroin"	"T40.1"	110	18527305	0.6
	"Florida"	"12"	"2009"	"2009"	"Heroin"	"T40.1"	98	18652644	0.5
	"Florida"	"12"	"2010"	"2010"	"Heroin"	"T40.1"	52	18801310	0.3
	"Florida"	"12"	"2011"	"2011"	"Heroin"	"T40.1"	64	19057542	0.3
	"Florida"	"12"	"2012"	"2012"	"Heroin"	"T40.1"	104	19317568	0.5
	"Florida"	"12"	"2013"	"2013"	"Heroin"	"T40.1"	186	19552860	1.0
