median_income,Type,shops_per_1000
79722,Starbucks,0.0
70571,Starbucks,0.0
121607,Starbucks,0.184535892231039
114769,Starbucks,0.0
72042,Starbucks,0.0
126840,Starbucks,0.0
103542,Starbucks,0.0
101118,Starbucks,0.0
89934,Starbucks,0.0
90703,Starbucks,0.0
82361,Starbucks,0.0
70308,Starbucks,0.0
94340,Starbucks,0.226757369614512
75967,Starbucks,0.0
49067,Starbucks,0.0
77441,Starbucks,0.0
71116,Starbucks,0.0
36619,Starbucks,0.0
42487,Starbucks,0.0
29688,Starbucks,0.0
40424,Starbucks,0.0
63603,Starbucks,0.0
31969,Starbucks,0.0
58618,Starbucks,0.148389968838107
85152,Starbucks,0.0
85326,Starbucks,0.0
84423,Starbucks,0.0
87596,Starbucks,0.0
87962,Starbucks,0.0
60380,Starbucks,0.0
54133,Starbucks,0.0
113658,Starbucks,0.0
84757,Starbucks,0.0
72250,Starbucks,0.20165355918532
61855,Starbucks,0.0
75587,Starbucks,0.0
71007,Starbucks,0.0
32396,Starbucks,0.0
56402,Starbucks,0.0
47882,Starbucks,0.0
78488,Starbucks,0.0
63586,Starbucks,0.0
85152,Starbucks,0.0
68705,Starbucks,0.0
78047,Starbucks,0.0
88956,Starbucks,0.0
41057,Starbucks,0.0
23275,Starbucks,0.0
33715,Starbucks,0.0
31941,Starbucks,0.0
31375,Starbucks,0.0
32676,Starbucks,0.0
52525,Starbucks,0.0
37940,Starbucks,0.0
25247,Starbucks,0.0
18337,Starbucks,0.0
14540,Starbucks,0.0
28362,Starbucks,0.0
22547,Starbucks,0.0
25347,Starbucks,0.0
30368,Starbucks,0.0
51220,Starbucks,0.0
49375,Starbucks,0.0
45560,Starbucks,0.0
30069,Starbucks,0.0
29375,Starbucks,0.0
38906,Starbucks,0.0
41171,Starbucks,0.0
75083,Starbucks,0.0
41958,Starbucks,0.0
64130,Starbucks,0.0
80536,Starbucks,0.0
86442,Starbucks,0.0
57790,Starbucks,0.0
71553,Starbucks,0.0
74826,Starbucks,0.0
84113,Starbucks,0.169319336268202
74904,Starbucks,0.0
90417,Starbucks,0.0
93750,Starbucks,0.0
65944,Starbucks,0.0
45735,Starbucks,0.0
48138,Starbucks,0.0
45128,Starbucks,0.0
50034,Starbucks,0.0
37832,Starbucks,0.0
38497,Starbucks,0.0
22688,Starbucks,0.0
34844,Starbucks,0.0
26492,Starbucks,0.0
21775,Starbucks,0.0
39750,Starbucks,0.0
57632,Starbucks,0.0
23477,Starbucks,0.0
32765,Starbucks,0.0
26989,Starbucks,0.0
38970,Starbucks,0.0
34902,Starbucks,0.0
50709,Starbucks,0.0
20845,Starbucks,0.0
13750,Starbucks,0.0
27772,Starbucks,0.0
33841,Starbucks,0.0
48636,Starbucks,0.0
63897,Starbucks,0.0
36159,Starbucks,0.0
25313,Starbucks,0.0
26623,Starbucks,0.0
26802,Starbucks,0.0
22704,Starbucks,0.0
55200,Starbucks,0.0
57270,Starbucks,0.160128102481986
84630,Starbucks,0.0
57337,Starbucks,0.0
77917,Starbucks,0.0
61538,Starbucks,0.0
93934,Starbucks,0.0
83393,Starbucks,0.0
62135,Starbucks,0.0
69942,Starbucks,0.0
38958,Starbucks,0.0
60153,Starbucks,0.0
67588,Starbucks,0.0
78319,Starbucks,0.0
135976,Starbucks,0.0
65083,Starbucks,0.0
107353,Starbucks,0.0
71447,Starbucks,0.17247326664367
128095,Starbucks,0.0
118482,Starbucks,0.0
99848,Starbucks,0.0
81520,Starbucks,0.236854571293226
84583,Starbucks,0.0
57443,Starbucks,0.0
71698,Starbucks,0.0
44222,Starbucks,0.193798449612403
41659,Starbucks,0.0
65000,Starbucks,0.0
71556,Starbucks,0.0
52292,Starbucks,0.0
53325,Starbucks,0.0
63333,Starbucks,0.0
82353,Starbucks,0.0
59441,Starbucks,0.0
87159,Starbucks,0.0
96905,Starbucks,0.0
48772,Starbucks,0.0
36830,Starbucks,0.0
70143,Starbucks,0.0
54132,Starbucks,0.0
61310,Starbucks,0.0
35060,Starbucks,0.0
25298,Starbucks,0.0
36934,Starbucks,0.0
53462,Starbucks,0.0
54171,Starbucks,0.0
44938,Starbucks,0.0
42542,Starbucks,0.0
35493,Starbucks,0.0
21038,Starbucks,0.0
26589,Starbucks,0.0
19708,Starbucks,0.0
37284,Starbucks,0.0
26092,Starbucks,0.34106412005457
80357,Starbucks,0.0
71538,Starbucks,0.0
71231,Starbucks,0.0
75547,Starbucks,0.137042620254899
