congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,M000112,Joseph,Jefferson,Mansfield,NA,1861-02-09,TX,D,TRUE,1947-01-03,85.9
80,house,D000448,Robert,Lee,Doughton,NA,1863-11-07,NC,D,TRUE,1947-01-03,83.2
80,house,S000001,Adolph,Joachim,Sabath,NA,1866-04-04,IL,D,TRUE,1947-01-03,80.7
80,house,E000023,Charles,Aubrey,Eaton,NA,1868-03-29,NJ,R,TRUE,1947-01-03,78.8
80,house,L000296,William,NA,Lewis,NA,1868-09-22,KY,R,FALSE,1947-01-03,78.3
80,house,G000017,James,A.,Gallagher,NA,1869-01-16,PA,R,FALSE,1947-01-03,78.0
80,house,W000265,Richard,Joseph,Welch,NA,1869-02-13,CA,R,TRUE,1947-01-03,77.9
80,house,B000565,Sol,NA,Bloom,NA,1870-03-09,NY,D,TRUE,1947-01-03,76.8
80,house,H000943,Merlin,NA,Hull,NA,1870-12-18,WI,R,TRUE,1947-01-03,76.0
80,house,G000169,Charles,Laceille,Gifford,NA,1871-03-15,MA,R,TRUE,1947-01-03,75.8
80,house,B000545,Schuyler,Otis,Bland,NA,1872-05-04,VA,D,TRUE,1947-01-03,74.7
80,house,R000358,John,Marshall,Robsion,NA,1873-01-02,KY,R,TRUE,1947-01-03,74.0
80,house,L000501,Louis,Leon,Ludlow,NA,1873-06-24,IN,D,TRUE,1947-01-03,73.5
80,house,K000138,John,Hosea,Kerr,NA,1873-12-31,NC,D,TRUE,1947-01-03,73.0
80,house,C000932,Robert,NA,Crosser,NA,1874-06-07,OH,D,TRUE,1947-01-03,72.6
80,house,L000163,Clarence,Frederick,Lea,NA,1874-07-11,CA,D,TRUE,1947-01-03,72.5
80,house,K000039,John,NA,Kee,NA,1874-08-22,WV,D,TRUE,1947-01-03,72.4
80,house,S000717,Brent,NA,Spence,NA,1874-12-24,KY,D,TRUE,1947-01-03,72.0
80,house,A000257,Homer,Daniel,Angell,NA,1875-01-12,OR,R,TRUE,1947-01-03,72.0
80,house,N000153,Mary,Teresa,Norton,NA,1875-03-07,NJ,D,TRUE,1947-01-03,71.8
80,house,P000395,Charles,Albert,Plumley,NA,1875-04-14,VT,R,TRUE,1947-01-03,71.7
80,house,D000496,Patrick,Henry,Drewry,NA,1875-05-24,VA,D,TRUE,1947-01-03,71.6
80,house,H000683,Clare,Eugene,Hoffman,NA,1875-09-10,MI,R,TRUE,1947-01-03,71.3
80,house,R000113,Daniel,Alden,Reed,NA,1875-09-15,NY,R,TRUE,1947-01-03,71.3
80,house,B001214,William,Thomas,Byrne,NA,1876-03-06,NY,D,TRUE,1947-01-03,70.8
80,house,W000718,Roy,Orchard,Woodruff,NA,1876-03-14,MI,R,TRUE,1947-01-03,70.8
80,house,B000515,William,Wallace,Blackney,NA,1876-08-28,MI,R,TRUE,1947-01-03,70.3
80,house,M000693,Earl,Cory,Michener,NA,1876-11-30,MI,R,TRUE,1947-01-03,70.1
80,house,C000590,Howard,Aldridge,Coffin,NA,1877-06-11,MI,R,FALSE,1947-01-03,69.6
80,house,M000374,Edward,Oscar,McCowen,NA,1877-06-29,OH,R,TRUE,1947-01-03,69.5
80,house,W000012,James,Wolcott,Wadsworth,Jr.,1877-08-12,NY,R,TRUE,1947-01-03,69.4
80,house,O000016,Thomas,Joseph,O'Brien,NA,1878-04-30,IL,D,TRUE,1947-01-03,68.7
80,house,W000430,William,Madison,Whittington,NA,1878-05-04,MS,D,TRUE,1947-01-03,68.7
80,house,L000238,William,NA,Lemke,NA,1878-08-13,ND,R,TRUE,1947-01-03,68.4
80,house,D000212,John,Joseph,Delaney,NA,1878-08-21,NY,D,TRUE,1947-01-03,68.4
80,house,J000117,Anton,Joseph,Johnson,NA,1878-10-20,IL,R,TRUE,1947-01-03,68.2
80,house,C000117,Clarence,Andrew,Cannon,NA,1879-04-11,MO,D,TRUE,1947-01-03,67.7
80,house,T000189,Robert,Ewing,Thomason,NA,1879-05-30,TX,D,TRUE,1947-01-03,67.6
80,house,A000296,Samuel,Washington,Arnold,NA,1879-09-21,MO,R,TRUE,1947-01-03,67.3
80,house,B000940,Paul,NA,Brown,NA,1880-03-31,GA,D,TRUE,1947-01-03,66.8
80,house,C000831,Edward,Eugene,Cox,NA,1880-04-03,GA,D,TRUE,1947-01-03,66.7
80,house,T000001,John,NA,Taber,NA,1880-05-05,NY,R,TRUE,1947-01-03,66.7
80,house,J000096,John,NA,Jennings,Jr.,1880-06-06,TN,R,TRUE,1947-01-03,66.6
80,house,G000206,Wilson,Darwin,Gillette,NA,1880-07-01,PA,R,TRUE,1947-01-03,66.5
80,house,G000360,Louis,Edward,Graham,NA,1880-08-04,PA,R,TRUE,1947-01-03,66.4
80,house,G000207,George,W.,Gillie,NA,1880-08-15,IN,R,TRUE,1947-01-03,66.4
80,house,M000574,Rolla,Coral,McMillen,NA,1880-10-05,IL,R,TRUE,1947-01-03,66.2
80,house,K000301,Harold,NA,Knutson,NA,1880-10-20,MN,R,TRUE,1947-01-03,66.2
