Month,Year,resort,avg_temp,gust_wind,gust_events
January,2009,Killington,15,45,18
January,2010,Killington,22,43,13
January,2011,Killington,18,30,12
January,2012,Killington,26,41,23
January,2013,Killington,23,41,19
January,2014,Killington,17,40,17
January,2015,Killington,16,37,23
January,2016,Killington,24,46,19
January,2009,Stowe,10,36,10
January,2010,Stowe,21,45,12
January,2011,Stowe,15,29,13
January,2012,Stowe,19,38,16
January,2013,Stowe,18,45,15
January,2014,Stowe,15,38,12
January,2015,Stowe,12,44,19
January,2016,Stowe,22,42,11
January,2009,Sugarbush,12,37,15
January,2010,Sugarbush,21,47,13
January,2011,Sugarbush,15,32,10
January,2012,Sugarbush,21,46,18
January,2013,Sugarbush,18,47,17
January,2014,Sugarbush,15,40,10
January,2015,Sugarbush,12,49,17
January,2016,Sugarbush,21,45,15
