Month,Year,Snowfall
January,2009,62
February,2009,28
March,2009,16
April,2009,2
May,2009,0
June,2009,0
July,2009,0
August,2009,0
September,2009,0
October,2009,0
November,2009,10
December,2009,64
January,2010,23
February,2010,70
March,2010,18
April,2010,0
May,2010,0
June,2010,0
July,2010,0
August,2010,0
September,2010,0
October,2010,0
November,2010,8
December,2010,19
January,2011,7
February,2011,25
March,2011,25
April,2011,11
May,2011,0
June,2011,0
July,2011,0
August,2011,0
September,2011,0
October,2011,15
November,2011,7
December,2011,27
January,2012,34
February,2012,24
March,2012,25
April,2012,25
May,2012,0
June,2012,0
July,2012,0
August,2012,0
September,2012,0
October,2012,0
November,2012,5
December,2012,60
January,2013,27
February,2013,50
March,2013,36
April,2013,4
May,2013,0
June,2013,0
July,2013,0
August,2013,0
September,2013,0
October,2013,0
November,2013,13
December,2013,37
January,2014,28
February,2014,61
March,2014,52
April,2014,6
May,2014,0
June,2014,0
July,2014,0
August,2014,0
September,2014,0
October,2014,0
November,2014,23
December,2014,40
January,2015,51
February,2015,54
March,2015,14
April,2015,9
May,2015,0
June,2015,0
July,2015,0
August,2015,0
September,2015,0
October,2015,0
November,2015,2
December,2015,7
January,2016,19
February,2016,22
March,2016,8
April,2016,9
May,2016,0
June,2016,0
July,2016,0
August,2016,0
September,2016,0
October,2016,12
November,2016,17
