Month,Year,Snowfall
January,2009,90
February,2009,73
March,2009,24
April,2009,17
May,2009,0
June,2009,0
July,2009,0
August,2009,0
September,2009,0
October,2009,0
November,2009,0
December,2009,57
January,2010,53
February,2010,83
March,2010,11
April,2010,2
May,2010,0
June,2010,0
July,2010,0
August,2010,0
September,2010,0
October,2010,0
November,2010,0
December,2010,20
January,2011,29
February,2011,60
March,2011,57
April,2011,15
May,2011,0
June,2011,0
July,2011,0
August,2011,0
September,2011,0
October,2011,0
November,2011,11
December,2011,30
January,2012,58
February,2012,63
March,2012,26
April,2012,0
May,2012,0
June,2012,0
July,2012,0
August,2012,0
September,2012,0
October,2012,0
November,2012,11
December,2012,63
January,2013,34
February,2013,48
March,2013,44
April,2013,22
May,2013,0
June,2013,0
July,2013,0
August,2013,0
September,2013,0
October,2013,0
November,2013,15
December,2013,44
January,2014,29
February,2014,62
March,2014,73
April,2014,8
May,2014,0
June,2014,0
July,2014,0
August,2014,0
September,2014,0
October,2014,0
November,2014,21
December,2014,40
January,2015,59
February,2015,71
March,2015,42
April,2015,16
May,2015,0
June,2015,0
July,2015,0
August,2015,0
September,2015,0
October,2015,0
November,2015,0
December,2015,20
January,2016,52
February,2016,34
March,2016,23
April,2016,17
May,2016,0
June,2016,0
July,2016,0
August,2016,0
September,2016,0
October,2016,0
November,2016,5
