Month,Year,Snowfall
January,2009,50
February,2009,65
March,2009,21
April,2009,16
May,2009,0
June,2009,0
July,2009,0
August,2009,0
September,2009,0
October,2009,0
November,2009,0
December,2009,31
January,2010,16
February,2010,81
March,2010,6
April,2010,0
May,2010,0
June,2010,0
July,2010,0
August,2010,0
September,2010,0
October,2010,0
November,2010,1
December,2010,25
January,2011,37
February,2011,18
March,2011,36
April,2011,10
May,2011,0
June,2011,0
July,2011,0
August,2011,0
September,2011,0
October,2011,2
November,2011,2
December,2011,27
January,2012,46
February,2012,43
March,2012,29
April,2012,0
May,2012,0
June,2012,0
July,2012,0
August,2012,0
September,2012,0
October,2012,0
November,2012,19
December,2012,142
January,2013,48
February,2013,53
March,2013,54
April,2013,10
May,2013,0
June,2013,0
July,2013,0
August,2013,0
September,2013,0
October,2013,0
November,2013,15
December,2013,45
January,2014,33
February,2014,71
March,2014,69
April,2014,7
May,2014,0
June,2014,0
July,2014,0
August,2014,0
September,2014,0
October,2014,0
November,2014,22
December,2014,55
January,2015,72
February,2015,49
March,2015,40
April,2015,19
May,2015,0
June,2015,0
July,2015,0
August,2015,0
September,2015,0
October,2015,0
November,2015,0
December,2015,16
January,2016,57
February,2016,40
March,2016,26
April,2016,15
May,2016,0
June,2016,0
July,2016,0
August,2016,0
September,2016,0
October,2016,5
November,2016,21
